                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4742,                      1,                      1,                0.46948,              0.0002339,              0.0002339,              0.0002339
                      2,                0.09563,                      1,                      1,                0.31519,             0.00044854,             0.00044854,             0.00044854
                      3,                0.04956,                      1,                      1,                0.33154,             0.00063962,             0.00063962,             0.00063962
                      4,                0.06997,                      1,                      1,                0.31396,             0.00060797,             0.00060797,             0.00060797
                      5,                 0.0686,                      1,                      1,                 0.3252,             0.00060797,             0.00060797,             0.00060797
                      6,                0.05667,                      1,                      1,                0.31689,             0.00057263,             0.00057263,             0.00057263
                      7,                0.03971,                      1,                      1,                0.31641,             0.00053728,             0.00053728,             0.00053728
                      8,                0.01922,                      1,                      1,                0.31372,             0.00050194,             0.00050194,             0.00050194
                      9,                0.02318,                      1,                      1,                0.31372,              0.0004666,              0.0004666,              0.0004666
                     10,                0.01401,                      1,                      1,                0.31348,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00768,                      1,                      1,                0.31323,             0.00039591,             0.00039591,             0.00039591
                     12,                0.01085,                      1,                      1,                0.31323,             0.00036057,             0.00036057,             0.00036057
                     13,                0.01263,                      1,                      1,                0.31348,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00368,                      1,                      1,                0.31348,             0.00028988,             0.00028988,             0.00028988
                     15,                0.01299,                      1,                      1,                0.31323,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00318,                      1,                      1,                0.31323,              0.0002192,              0.0002192,              0.0002192
                     17,                 0.0064,                      1,                      1,                0.31323,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00944,                      1,                      1,                0.31323,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00619,                      1,                      1,                0.31323,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00819,                      1,                      1,                0.31323,             7.7826e-05,             7.7826e-05,             7.7826e-05
