                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0175,                    0.6,                      1,                0.70654,               3.57e-05,               3.57e-05,               3.57e-05
                      2,                0.87193,                   0.55,                      1,                0.74268,             7.4652e-05,             7.4652e-05,             7.4652e-05
                      3,                0.76059,                   0.55,                      1,                0.73145,             0.00010936,             0.00010936,             0.00010936
                      4,                0.60087,                   0.55,                      1,                0.73047,             0.00013983,             0.00013983,             0.00013983
                      5,                0.55474,                    0.6,                      1,                0.71484,             0.00016606,             0.00016606,             0.00016606
                      6,                 0.4779,                    0.6,                      1,                 0.6792,             0.00018805,             0.00018805,             0.00018805
                      7,                 0.4431,                    0.7,                      1,                0.65918,              0.0002058,              0.0002058,              0.0002058
                      8,                0.38758,                    0.7,                      1,                0.62354,              0.0002193,              0.0002193,              0.0002193
                      9,                0.29433,                   0.75,                      1,                 0.5791,             0.00022857,             0.00022857,             0.00022857
                     10,                 0.2787,                    0.8,                      1,                 0.5459,             0.00023359,             0.00023359,             0.00023359
                     11,                0.32424,                   0.85,                      1,                0.50732,             0.00023437,             0.00023437,             0.00023437
                     12,                0.19577,                   0.85,                      1,                0.47827,             0.00023091,             0.00023091,             0.00023091
                     13,                0.27823,                   0.85,                      1,                 0.4502,             0.00022321,             0.00022321,             0.00022321
                     14,                0.20428,                   0.85,                      1,                0.43384,             0.00021127,             0.00021127,             0.00021127
                     15,                0.18439,                    0.9,                      1,                0.42847,             0.00019509,             0.00019509,             0.00019509
                     16,                0.21002,                    0.9,                      1,                0.41162,             0.00017466,             0.00017466,             0.00017466
                     17,                0.18155,                    0.9,                      1,                0.41406,             0.00014851,             0.00014851,             0.00014851
                     18,                0.17067,                    0.9,                      1,                0.40381,             0.00014851,             0.00014851,             0.00014851
                     19,                0.17363,                    0.9,                      1,                0.39526,             0.00011317,             0.00011317,             0.00011317
                     20,                 0.1284,                    0.9,                      1,                0.40576,             7.7826e-05,             7.7826e-05,             7.7826e-05
