                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25215,                0.99626,                      1,                0.32044,             0.00023707,             0.00023707,             0.00023707
                      2,                0.02689,                      1,                      1,                0.31436,             0.00046331,             0.00046331,             0.00046331
                      3,                0.02614,                0.99751,                      1,                0.31877,             0.00067777,             0.00067777,             0.00067777
                      4,                0.02772,                0.99875,                      1,                0.31472,             0.00066099,             0.00066099,             0.00066099
                      5,                0.04072,                0.99751,                      1,                0.31996,             0.00066099,             0.00066099,             0.00066099
                      6,                0.01672,                0.99875,                      1,                0.31491,             0.00064331,             0.00064331,             0.00064331
                      7,                 0.0069,                      1,                      1,                0.31352,             0.00062564,             0.00062564,             0.00062564
                      8,                0.01176,                      1,                      1,                0.31507,             0.00060797,             0.00060797,             0.00060797
                      9,                0.00489,                      1,                      1,                0.31354,              0.0005903,              0.0005903,              0.0005903
                     10,                0.00439,                      1,                      1,                0.31345,             0.00057263,             0.00057263,             0.00057263
                     11,                0.00284,                0.99875,                      1,                0.31422,             0.00055496,             0.00055496,             0.00055496
                     12,                0.00262,                      1,                      1,                0.31335,             0.00053728,             0.00053728,             0.00053728
                     13,                0.00828,                0.99875,                      1,                0.31481,             0.00051961,             0.00051961,             0.00051961
                     14,                0.00383,                      1,                      1,                0.31351,             0.00050194,             0.00050194,             0.00050194
                     15,                0.00851,                0.99751,                      1,                0.31551,             0.00048427,             0.00048427,             0.00048427
                     16,                0.00556,                0.99626,                      1,                0.31687,              0.0004666,              0.0004666,              0.0004666
                     17,                0.00263,                0.99875,                      1,                0.31451,             0.00044893,             0.00044893,             0.00044893
                     18,                0.00272,                0.99875,                      1,                0.31468,             0.00043126,             0.00043126,             0.00043126
                     19,                 0.0054,                      1,                      1,                 0.3133,             0.00041358,             0.00041358,             0.00041358
                     20,                0.00672,                      1,                      1,                0.31376,             0.00039591,             0.00039591,             0.00039591
                     21,                0.00579,                      1,                      1,                0.31338,             0.00037824,             0.00037824,             0.00037824
                     22,                0.00195,                      1,                      1,                0.31406,             0.00036057,             0.00036057,             0.00036057
                     23,                0.00156,                      1,                      1,                0.31366,              0.0003429,              0.0003429,              0.0003429
                     24,                0.00194,                      1,                      1,                0.31335,             0.00032523,             0.00032523,             0.00032523
                     25,                0.00348,                      1,                      1,                0.31338,             0.00030756,             0.00030756,             0.00030756
                     26,                0.00411,                      1,                      1,                0.31359,             0.00028988,             0.00028988,             0.00028988
                     27,                0.00177,                      1,                      1,                0.31359,             0.00027221,             0.00027221,             0.00027221
                     28,                0.00082,                      1,                      1,                0.31344,             0.00025454,             0.00025454,             0.00025454
                     29,                0.00099,                      1,                      1,                 0.3133,             0.00023687,             0.00023687,             0.00023687
                     30,                0.00198,                      1,                      1,                0.31331,              0.0002192,              0.0002192,              0.0002192
                     31,                0.00257,                      1,                      1,                0.31326,             0.00020153,             0.00020153,             0.00020153
                     32,                0.00174,                      1,                      1,                0.31333,             0.00018385,             0.00018385,             0.00018385
                     33,                0.00094,                      1,                      1,                0.31337,             0.00016618,             0.00016618,             0.00016618
                     34,                0.00166,                      1,                      1,                0.31329,             0.00014851,             0.00014851,             0.00014851
                     35,                0.00104,                      1,                      1,                0.31329,             0.00013084,             0.00013084,             0.00013084
                     36,                0.00111,                      1,                      1,                0.31328,             0.00011317,             0.00011317,             0.00011317
                     37,                0.00181,                      1,                      1,                0.31341,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     38,                0.00051,                      1,                      1,                0.31329,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     39,                0.00124,                      1,                      1,                0.31326,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     40,                 0.0016,                      1,                      1,                0.31327,             4.2483e-05,             4.2483e-05,             4.2483e-05
