                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.19279,                0.99377,                      1,                0.32181,             0.00023707,             0.00023707,             0.00023707
                      2,                0.02589,                0.99004,                      1,                0.32464,             0.00046332,             0.00046332,             0.00046332
                      3,                0.03345,                0.99626,                      1,                0.31865,             0.00067778,             0.00067778,             0.00067778
                      4,                0.04859,                0.99253,                      1,                0.32353,             0.00066099,             0.00066099,             0.00066099
                      5,                0.04269,                0.99875,                      1,                0.31884,             0.00066099,             0.00066099,             0.00066099
                      6,                0.02456,                0.99626,                      1,                0.31703,             0.00064331,             0.00064331,             0.00064331
                      7,                0.01745,                      1,                      1,                0.31435,             0.00062564,             0.00062564,             0.00062564
                      8,                0.00842,                0.98879,                      1,                0.32396,             0.00060797,             0.00060797,             0.00060797
                      9,                0.01301,                      1,                      1,                0.31383,              0.0005903,              0.0005903,              0.0005903
                     10,                0.01024,                      1,                      1,                0.31382,             0.00057263,             0.00057263,             0.00057263
                     11,                0.00468,                0.99875,                      1,                0.31442,             0.00055496,             0.00055496,             0.00055496
                     12,                0.00673,                0.99875,                      1,                0.31442,             0.00053728,             0.00053728,             0.00053728
                     13,                0.00768,                      1,                      1,                0.31385,             0.00051961,             0.00051961,             0.00051961
                     14,                0.00677,                0.99875,                      1,                 0.3139,             0.00050194,             0.00050194,             0.00050194
                     15,                0.00792,                0.99875,                      1,                0.31539,             0.00048427,             0.00048427,             0.00048427
                     16,                 0.0054,                      1,                      1,                0.31365,              0.0004666,              0.0004666,              0.0004666
                     17,                 0.0069,                0.99875,                      1,                0.31437,             0.00044893,             0.00044893,             0.00044893
                     18,                0.00211,                      1,                      1,                 0.3135,             0.00043126,             0.00043126,             0.00043126
                     19,                0.00205,                      1,                      1,                0.31353,             0.00041358,             0.00041358,             0.00041358
                     20,                0.00153,                      1,                      1,                0.31351,             0.00039591,             0.00039591,             0.00039591
                     21,                0.00467,                      1,                      1,                0.31495,             0.00037824,             0.00037824,             0.00037824
                     22,                0.00208,                0.99875,                      1,                0.31446,             0.00036057,             0.00036057,             0.00036057
                     23,                0.00725,                0.99751,                      1,                 0.3157,              0.0003429,              0.0003429,              0.0003429
                     24,                0.00406,                      1,                      1,                0.31375,             0.00032523,             0.00032523,             0.00032523
                     25,                0.00895,                0.99751,                      1,                0.31529,             0.00030756,             0.00030756,             0.00030756
                     26,                 0.0053,                0.99751,                      1,                0.31542,             0.00028988,             0.00028988,             0.00028988
                     27,                0.00239,                      1,                      1,                0.31408,             0.00027221,             0.00027221,             0.00027221
                     28,                0.00254,                      1,                      1,                0.31363,             0.00025454,             0.00025454,             0.00025454
                     29,                0.00125,                      1,                      1,                0.31334,             0.00023687,             0.00023687,             0.00023687
                     30,                0.00084,                      1,                      1,                0.31371,              0.0002192,              0.0002192,              0.0002192
                     31,                  0.002,                      1,                      1,                0.31368,             0.00020153,             0.00020153,             0.00020153
                     32,                0.00329,                      1,                      1,                0.31343,             0.00018385,             0.00018385,             0.00018385
                     33,                0.00205,                      1,                      1,                0.31344,             0.00016618,             0.00016618,             0.00016618
                     34,                 0.0007,                      1,                      1,                0.31349,             0.00014851,             0.00014851,             0.00014851
                     35,                0.00157,                      1,                      1,                0.31334,             0.00013084,             0.00013084,             0.00013084
                     36,                0.00088,                      1,                      1,                0.31329,             0.00011317,             0.00011317,             0.00011317
                     37,                0.00032,                      1,                      1,                0.31334,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     38,                0.00044,                      1,                      1,                0.31328,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     39,                0.00169,                      1,                      1,                0.31329,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     40,                0.00118,                      1,                      1,                0.31327,             4.2483e-05,             4.2483e-05,             4.2483e-05
